step,analysis_kind,analysis_mode,channel,warning,stderr
pta_inv,PTA,inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/pta_inv.dot.stderr.log
pta_inv,PTA,inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/pta_inv.dot.stderr.log
pta_inv,PTA,inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/pta_inv.dot.stderr.log
dda_fi,DDA,ssa+fi,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.lines.stderr.log
dda_fi,DDA,ssa+fi,dot,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fi.dot.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_fs.dot.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* nonnull align 16 %4, i8 32, i64 %55, i1 false), !dbg !6808",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* align 1 %412, i8 -22, i64 %416, i1 false) #48, !dbg !7605",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,dot,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %9, i8 %6, i64 %11, i1 false), !dbg !6749",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %35, i8 -1, i64 16, i1 false), !dbg !6810",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(16) %36, i8 -1, i64 16, i1 false), !dbg !6811",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
dda_inv,DDA,ssa+inv,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/dda_inv.dot.stderr.log
